"Name","Date of Birth","Place of Birth","Oscars","Oscar Nominations","BAFTA","BAFTA Nominations","Golden Globes","Golden Globe Nominations"
"Al Pacino","25 April 1940","East Harlem, New York, United States","1","8","2","5","4","15"
"Alan Arkin","26 March 1934","Brooklyn, New York, United States","1","4","1","3","1","6"
"Alan Rickman","21 February 1946","Hammersmith, London, United Kingdom","0","0","1","4","1","1"
"Albert Finney","9 May 1936","Charlestown, Salford, United Kingdom","0","5","2","13","2","9"
"Alec Guinness","2 April 1914","Maida Vale, London, United Kingdom","1","5","3","7","1","3"
"Anthony Hopkins","31 December 1937","Margam, United Kingdom","1","4","3","9","0","6"
"Anthony Quinn","21 April 1915","Chihuahua, Mexico","2","4","0","2","0","5"
"Ben Kingsley","31 December 1943","Snainton, United Kingdom","1","4","2","4","2","8"
"Benicio Del Toro","19 February 1967","San Germán, Puerto Rico","1","2","1","2","1","1"
"Bill Murray","21 September 1950","Evanston, Illinois, United States","0","1","1","1","1","4"
"Brad Pitt","18 December 1963","Shawnee, Oklahoma, United States","1","6","1","5","1","5"
"Burt Lancaster","2 November 1913","Manhattan, New York, United States","1","4","2","4","1","5"
"Cary Grant","18 January 1904","Horfield, Bristol, United Kingdom","0","2","0","1","0","4"
"Charles Chaplin","16 April 1889","London, United Kingdom","1","4","0","0","0","0"
"Charles Laughton","1 July 1899","Scarborough, United Kingdom","1","3","0","2","0","1"
"Charlton Heston","4 October 1923","Evanston, Illinois, United States","1","1","0","0","0","3"
"Christian Bale","30 January 1974","Haverfordwest, United Kingdom","1","2","0","2","1","2"
"Christoph Waltz","4 October 1956","Vienna, Austria","2","2","2","2","2","2"
"Christopher Plummer","13 December 1929","Toronto, Canada","1","2","1","1","1","3"
"Christopher Walken","31 March 1943","Astoria, New York, United States","1","2","1","2","0","1"
"Clark Gable","1 February 1901","Cadiz, Ohio, United States","1","3","0","0","0","2"
"Clint Eastwood","31 May 1930","San Francisco, California, United States","2","7","0","3","3","12"
"Colin Firth","10 September 1960","Grayshott, United Kingdom","1","2","2","5","1","2"
"Daniel Day-Lewis","29 April 1957","Kensington, London, United Kingdom","3","5","4","6","2","7"
"Denzel Washington","28 December 1954","Mount Vernon, New York, United States","2","8","0","0","2","8"
"Don Cheadle","29 November 1964","Kansas City, Missouri, United States","0","1","0","2","2","3"
"Dustin Hoffman","8 August 1937","Los Angeles, California, United States","2","7","4","10","5","13"
"Edward Norton","18 August 1969","Boston, Massachusetts, United States","0","3","0","2","1","2"
"Gary Cooper","7 May 1901","Helena, Montana, United States","2","5","0","0","1","2"
"Gary Oldman","21 March 1958","New Cross, London, United Kingdom","0","1","1","3","0","0"
"Gene Hackman","30 January 1930","San Bernardino, California, United States","2","5","3","7","3","8"
"Gene Kelly","23 August 1912","East Liberty, Pittsburgh, Pennsylvania, United States","0","1","0","0","0","2"
"Geoffrey Rush","6 July 1951","Toowoomba, Australia","1","4","3","5","2","5"
"George C. Scott","18 October 1927","Wise, Virginia, United States","1","4","0","3","2","5"
"Gregory Peck","5 April 1916","La Jolla, California, United States","1","5","0","2","3","6"
"Harrison Ford","13 July 1942","Chicago, Illinois, United States","0","1","0","1","0","4"
"Heath Ledger","4 April 1979","Perth, Australia","1","2","1","2","1","2"
"Henry Fonda","16 May 1905","Grand Island, Nebraska, United States","1","3","1","2","1","2"
"Hugh Jackman","12 October 1968","Sydney, Australia","0","1","0","1","1","2"
"Humphrey Bogart","25 December 1899","New York, New York, United States","1","3","0","1","0","0"
"Ian McKellen","25 May 1939","Burnley, United Kingdom","0","2","0","4","1","3"
"Jack Lemmon","8 February 1925","Newton, Massachusetts, United States","2","8","2","8","4","22"
"Jack Nicholson","22 April 1937","Neptune City, New Jersey, United States","3","12","4","8","6","17"
"James Cagney","17 July 1899","Lower East Side, New York, United States","1","3","0","0","0","0"
"James Dean","8 February 1931","Marion, Indiana, United States","0","2","0","2","0","0"
"James Stewart","20 May 1908","Indiana, Pennsylvania, United States","1","5","0","2","1","3"
"Jamie Foxx","13 December 1967","Terrell, Texas, United States","1","2","1","2","1","3"
"Jason Robards","26 July 1922","Chicago, Illinois, United States","2","3","0","2","0","5"
"Javier Bardem","1 March 1969","Municipality of Las Palmas, Spain","1","3","1","2","4","1"
"Jeff Bridges","4 December 1949","Los Angeles, California, United States","1","6","0","2","1","4"
"Jeremy Irons","19 September 1948","Cowes, United Kingdom","1","1","0","2","2","6"
"Jim Carrey","17 January 1962","Newmarket, Canada","0","4","0","1","2","6"
"Joaquin Phoenix","28 October 1974","Río Piedras, Puerto Rico","0","3","0","3","1","5"
"Joe Pesci","9 February 1943","Newark, New Jersey, United States","1","2","1","1","0","2"
"John Goodman","20 June 1952","Affton, Missouri, United States","0","0","0","0","1","5"
"John Travolta","18 February 1954","Englewood, New Jersey, United States","0","2","0","1","1","7"
"John Wayne","26 May 1907","Winterset, Iowa, United States","1","3","0","0","1","1"
"Johnny Depp","9 June 1963","Owensboro, Kentucky, United States","0","3","0","2","1","10"
"Jon Voight","29 December 1938","Yonkers, New York, United States","1","4","1","1","3","9"
"Kevin Spacey","26 July 1959","South Orange, New Jersey, United States","2","2","1","3","1","8"
"Kirk Douglas","9 December 1916","Amsterdam, New York, United States","0","3","0","1","1","3"
"Laurence Olivier","22 May 1907","Dorking, United Kingdom","1","11","2","10","2","5"
"Leonardo DiCaprio","11 November 1974","Los Angeles, California, United States","1","6","1","4","2","11"
"Liam Neeson","7 June 1952","Ballymena, United Kingdom","0","1","0","1","0","3"
"Marlon Brando","3 April 1924","Omaha, Nebraska, United States","2","8","3","8","2","6"
"Martin Sheen","3 August 1940","Dayton, Ohio, United States","0","0","0","2","1","8"
"Matt Damon","8 October 1970","Cambridge, Massachusetts, United States","1","5","0","3","1","7"
"Matthew McConaughey","4 November 1969","Uvalde, Texas, United States","1","1","0","0","1","1"
"Mel Gibson","3 January 1956","Peekskill, New York, United States","2","3","0","2","1","4"
"Michael Caine","14 March 1933","Rotherhithe, United Kingdom","2","6","1","8","3","12"
"Michael Douglas","25 September 1944","New Brunswick, New Jersey, United States","2","2","0","2","1","7"
"Morgan Freeman","1 June 1937","Memphis, Tennessee, United States","1","5","0","0","1","5"
"Nicolas Cage","7 January 1964","Long Beach, California, United States","1","2","0","2","1","4"
"Orson Welles","6 May 1915","Kenosha, Wisconsin, United States","0","1","0","1","1","3"
"Paul Newman","26 January 1925","Shaker Heights, Ohio, United States","1","10","1","5","3","12"
"Peter Finch","28 September 1916","South Kensington, London, United Kingdom","1","2","5","7","1","2"
"Peter O'Toole","2 August 1932","Leeds, United Kingdom","0","8","1","4","4","11"
"Peter Sellers","8 September 1925","Portsmouth, United Kingdom","0","3","1","4","1","5"
"Philip Seymour Hoffman","23 July 1967","Fairport, New York, United States","1","4","1","5","1","5"
"Ralph Fiennes","22 December 1962","Ipswich, United Kingdom","0","2","1","6","0","5"
"Richard Burton","10 November 1925","Pontrhydyfen, United Kingdom","0","7","2","4","2","7"
"Robert De Niro","17 August 1943","Greenwich Village, New York, United States","2","7","0","6","1","8"
"Robert Downey Jr.","4 April 1965","Manhattan, New York, United States","0","2","1","2","3","5"
"Robert Duvall","5 January 1931","San Diego, California, United States","1","7","1","3","4","7"
"Robert Mitchum","6 August 1917","Bridgeport, Connecticut, United States","0","1","0","1","0","0"
"Robert Redford","18 August 1936","Santa Monica, California, United States","1","4","3","4","2","5"
"Robin Williams","21 July 1951","Chicago, Illinois, United States","1","4","0","2","4","10"
"Russell Crowe","7 April 1964","Wellington, New Zealand","1","3","1","3","1","5"
"Samuel L. Jackson","21 December 1948","Washington, D.C., United States","0","1","1","1","0","4"
"Sean Connery","25 August 1930","Fountainbridge, Edinburgh, United Kingdom","1","1","1","4","1","1"
"Sean Penn","17 August 1960","Santa Monica, California, United States","2","5","0","3","1","5"
"Sidney Poitier","20 February 1927","Miami, Florida, United States","1","2","1","6","1","7"
"Spencer Tracy","5 April 1900","Milwaukee, Wisconsin, United States","2","9","1","5","1","4"
"Steve McQueen","24 March 1930","Beech Grove, Indiana, United States","0","1","0","0","0","4"
"Tom Cruise","3 July 1962","Syracuse, New York, United States","0","0","0","0","0","0"
"Tom Hanks","9 July 1956","Concord, California, United States","2","5","0","4","4","8"
"Tommy Lee Jones","15 September 1946","San Saba, Texas, United States","1","4","0","4","1","4"
"Will Smith","25 September 1968","Philadelphia, Pennsylvania, United States","0","2","0","0","0","5"
"William Holden","17 April 1918","O'Fallon, Illinois, United States","1","3","0","2","0","0"
"Woody Allen","30 November 1935","Mount Eden Hospital","4","24","9","23","2","13"
